Test Case Id,Test Case Name,Code Written?,Recorded,Published U?
BACK-END,,,,
Store API,,,,
TCID-01,Verify 'GET /inventory' test values returned are positive,Y,,,
TCID-02,Verify 'GET /inventory' value of placed is larger than value of delivered,Y,,,
TCID-03,Verify 'GET /inventory' approved value is less than 1000,Y,,,
TCID-04,Verify 'GET /store/order' id and quantity values are positive,Y,,,
TCID-05,Verify 'GET /store/order' quantity greater than zero,Y,,,
TCID-06,Verify 'GET /store/order' date matches today,Y,,,
TCID-07,Create 'POST /store/order' create order returns same id,Y,,,
TCID-08,Create 'POST /store/order' create order returns same pet id,Y,,,
TCID-09,Create 'POST /store/order' create order returns same quantity,Y,,,
TCID-10,Create 'POST /store/order' create order returns same date,Y,,,
TCID-11,Create 'POST /store/order' create order returns same status,Y,,,
TCID-12,Create 'POST /store/order' create order returns same complete,Y,,,
TCID-13,Remove 'DELETE /store/order' remove order,Y,,,
TCID-14,Verify 'DELETE /store/order' order removed,Y,,,
TCID-15,Verify 'POST /store/order' purchase order created,Y,,,
